,varied_param,step_index,param_measured,index_name,true_value,est_mean,hdi_lo,hdi_hi,divergences
0,alpha_group_mu,0,alpha_group_mu,alpha_group_mu[NH],1.0,1.025,0.706,1.293,118
1,alpha_group_mu,0,alpha_group_mu,alpha_group_mu[PH],1.0,0.978,0.695,1.212,118
2,alpha_group_mu,0,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.087,0.01,0.143,118
3,alpha_group_mu,0,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.065,0.012,0.132,118
4,alpha_group_mu,0,beta_group_mu,beta_group_mu[NH],0.5,0.519,0.396,0.651,118
5,alpha_group_mu,0,beta_group_mu,beta_group_mu[PH],0.5,0.568,0.43,0.702,118
6,alpha_group_mu,0,beta_group_sigma,beta_group_sigma[NH],0.05,0.043,0.006,0.073,118
7,alpha_group_mu,0,beta_group_sigma,beta_group_sigma[PH],0.05,0.07,0.034,0.098,118
8,alpha_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,-0.061,-0.365,0.235,118
9,alpha_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.105,-0.212,0.366,118
10,alpha_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, object]",0.0,-0.062,-0.321,0.184,118
11,alpha_group_mu,0,delta_alpha_group_entity,"delta_alpha_group_entity[PH, human]",0.0,0.004,-0.258,0.271,118
12,alpha_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[NH, object]",0.0,-0.018,-0.149,0.113,118
13,alpha_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[NH, human]",0.0,-0.09,-0.218,0.044,118
14,alpha_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[PH, object]",0.0,-0.021,-0.162,0.111,118
15,alpha_group_mu,0,delta_beta_group_entity,"delta_beta_group_entity[PH, human]",0.0,-0.053,-0.19,0.085,118
16,alpha_group_mu,1,alpha_group_mu,alpha_group_mu[NH],2.0,1.818,1.537,2.135,20
17,alpha_group_mu,1,alpha_group_mu,alpha_group_mu[PH],2.0,1.69,1.446,2.009,20
18,alpha_group_mu,1,alpha_group_sigma,alpha_group_sigma[NH],0.1,0.115,0.007,0.194,20
19,alpha_group_mu,1,alpha_group_sigma,alpha_group_sigma[PH],0.1,0.077,0.007,0.162,20
20,alpha_group_mu,1,beta_group_mu,beta_group_mu[NH],0.5,0.554,0.419,0.682,20
21,alpha_group_mu,1,beta_group_mu,beta_group_mu[PH],0.5,0.599,0.489,0.757,20
22,alpha_group_mu,1,beta_group_sigma,beta_group_sigma[NH],0.05,0.033,0.002,0.053,20
23,alpha_group_mu,1,beta_group_sigma,beta_group_sigma[PH],0.05,0.055,0.035,0.071,20
24,alpha_group_mu,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, object]",0.0,0.051,-0.242,0.32,20
25,alpha_group_mu,1,delta_alpha_group_entity,"delta_alpha_group_entity[NH, human]",0.0,0.282,0.003,0.586,20
